Game Id;PlayerId;TeamId;Game Rating;SA;GA;SV;SV%;TOI;PIM
24580;174718;12;0;0;0;0;.00nan;0;0
24580;175912;14;0;0;0;0;.00nan;0;0
24580;185034;14;64;24;3;21;.875;4200000;0
24580;85798;12;73;46;3;43;.935;4200000;0
24581;187537;19;0;0;0;0;.00nan;0;0
24581;187578;10;81;37;2;35;.946;3562000;0
24581;178384;19;83;27;1;26;.963;3600000;0
24581;90164;10;0;0;0;0;.00nan;0;0
24582;197940;11;42;36;6;30;.833;3036000;0
24582;45323;11;53;3;0;3;1.000;564000;0
24582;149452;31;0;0;0;0;.00nan;0;0
24582;152717;31;69;29;2;27;.931;3600000;0
24583;556;33;89;52;4;48;.923;3600000;0
24583;167642;18;0;0;0;0;.00nan;0;0
24583;173727;18;90;18;0;18;1.000;3600000;0
24583;197038;33;0;0;0;0;.00nan;0;0
24584;179154;26;98;42;2;40;.952;3585000;0
24584;186573;16;0;0;0;0;.00nan;0;0
24584;50065;16;93;32;1;31;.969;3600000;0
24584;152835;26;0;0;0;0;.00nan;0;0
24585;184229;35;0;0;0;0;.00nan;0;0
24585;179452;27;0;0;0;0;.00nan;0;0
24585;175660;27;82;38;3;35;.921;3600000;0
24585;57338;35;37;26;5;21;.808;3541000;0
24586;165723;32;0;0;0;0;.00nan;0;0
24586;20432;32;88;36;2;34;.944;3600000;0
24586;196090;4838;72;14;0;14;1.000;1271000;0
24586;185743;4838;21;26;6;20;.769;2329000;0
24587;320;21;0;0;0;0;.00nan;0;0
24587;3284;21;90;37;1;36;.973;3600000;0
24587;170977;30;0;0;0;0;.00nan;0;0
24587;86697;30;81;34;2;32;.941;3582000;0
24588;13714;8;93;61;4;57;.934;3596000;0
24588;170314;25;0;0;0;0;.00nan;0;0
24588;191813;25;54;18;2;16;.889;3600000;0
24588;58830;8;0;0;0;0;.00nan;0;0
24589;162029;4182;0;0;0;0;.00nan;0;0
24589;172340;4182;57;32;4;28;.875;3523000;0
24589;175092;9;0;0;0;0;.00nan;0;0
24589;190106;9;90;36;2;34;.944;3600000;0
24590;166591;20;87;31;1;30;.968;3600000;0
24590;183783;20;0;0;0;0;.00nan;0;0
24590;183859;23;54;29;5;24;.828;3600000;0
24590;78573;23;0;0;0;0;.00nan;0;0
24591;183904;34;62;30;3;27;.900;3600000;0
24591;168872;24;0;0;0;0;.00nan;0;0
24591;78806;34;0;0;0;0;.00nan;0;0
24591;85727;24;40;20;4;16;.800;3544000;0
24592;194416;17;0;0;0;0;.00nan;0;0
24592;178413;17;86;31;2;29;.935;3600000;0
24592;-1;5;0;0;0;0;.00nan;0;0
24592;61425;5;71;41;4;37;.902;3525000;0
24593;196090;4838;0;0;0;0;.00nan;0;0
24593;185743;4838;50;23;4;19;.826;3552000;0
24593;186573;16;0;0;0;0;.00nan;0;0
24593;50065;16;64;24;2;22;.917;3600000;0
24594;183904;34;58;29;3;26;.897;4200000;0
24594;77955;28;0;0;0;0;.00nan;0;0
24594;78806;34;0;0;0;0;.00nan;0;0
24594;85437;28;67;38;3;35;.921;4200000;0
24595;197940;11;58;31;4;27;.871;3600000;0
24595;183844;29;0;0;0;0;.00nan;0;0
24595;173699;29;40;27;5;22;.815;3577000;0
24595;45323;11;0;0;0;0;.00nan;0;0
24596;3928;15;89;35;1;34;.971;3600000;0
24596;163195;15;0;0;0;0;.00nan;0;0
24596;139409;3;92;33;2;31;.939;3578000;0
24596;148958;3;0;0;0;0;.00nan;0;0
24597;166646;0;0;0;0;0;.00nan;0;0
24597;59540;0;89;29;1;28;.966;3600000;0
24597;149452;31;83;43;4;39;.907;3600000;0
24597;152717;31;0;0;0;0;.00nan;0;0
24598;170314;25;0;0;0;0;.00nan;0;0
24598;179452;27;0;0;0;0;.00nan;0;0
24598;175660;27;79;35;3;32;.914;4200000;0
24598;191813;25;64;30;3;27;.900;4200000;0
24599;187578;10;0;0;0;0;.00nan;0;0
24599;165723;32;0;0;0;0;.00nan;0;0
24599;20432;32;95;23;0;23;1.000;3600000;0
24599;90164;10;95;38;2;36;.947;3526000;0
24600;556;33;0;0;0;0;.00nan;0;0
