PlayerId;League;Team
171836;39;333
177066;38;319
177067;38;321
166614;39;329
171838;0;31
192776;11;119
198047;13;133
171839;39;333
171839;41;5001
192777;38;319
198050;13;135
198050;37;289
177068;0;19
198051;13;136
198051;37;301
192778;39;340
937;0;31
182316;11;127
182316;38;324
182316;39;333
177069;38;327
192780;38;310
177070;38;302
952;0;10
187524;38;315
161552;36;277
166620;39;333
177071;39;340
970;0;10
187525;38;302
198055;37;301
979;0;35
198056;37;289
182317;39;334
987;0;22
182318;11;110
992;0;17
198061;13;1340
182319;39;336
187526;38;315
192783;39;335
192784;39;338
187527;38;317
198064;13;140
192786;39;333
192787;39;334
192788;11;116
192788;39;336
1017;35;267
177074;39;339
198066;13;132
177075;38;319
182322;39;340
177076;38;4995
187528;39;336
177077;38;324
187529;11;108
182323;38;309
177078;41;4763
177079;0;10
177079;39;340
182324;0;23
182324;39;339
182324;41;350
182325;38;311
1050;0;11
182326;39;336
187533;39;339
166630;39;331
166630;41;2178
182327;11;120
1063;0;3
1063;35;266
187534;38;305
166635;37;289
166635;193;3800
177080;38;310
171852;39;331
192791;39;335
177081;41;353
182329;38;311
177083;38;302
177084;11;112
171854;39;334
192793;11;119
182332;39;336
177085;38;310
177085;41;2178
187536;11;111
177086;43;382
166640;37;292
198073;13;132
182333;11;114
182333;38;319
182334;43;382
192795;11;109
177088;38;325
1132;0;8
182335;11;118
182335;38;320
198074;37;4626
192796;38;311
166644;37;4626
1145;0;3
182336;41;4763
182336;43;376
182337;41;4763
161579;34;1534
161579;35;266
187537;0;19
187537;11;117
161580;34;2175
161580;35;266
187538;11;127
187539;11;113
161583;35;266
166646;0;16
166646;193;3795
187540;11;125
187540;39;338
177094;11;116
177094;39;330
177095;38;302
177096;39;329
187541;38;324
182338;39;336
182338;41;4847
166647;37;288
192800;39;332
1192;0;23
161591;35;266
161591;243;4682
182339;13;139
192801;13;128
198081;13;1340
198081;38;324
182340;37;299
182341;0;33
182341;13;141
177098;38;320
192802;13;134
177099;38;324
161597;34;256
161597;42;362
182344;13;131
177101;0;17
177101;39;337
161599;34;5057
161599;35;266
161599;243;4684
177102;39;333
182345;38;306
177103;39;334
182346;37;296
177104;39;339
182347;37;295
198082;13;144
198082;39;337
198083;13;131
182348;13;133
182348;38;305
192804;37;292
166654;37;301
166654;193;3795
177105;37;4626
177105;39;338
198084;13;140
198085;13;131
177106;38;4995
182350;38;317
1268;0;15
182351;37;292
177107;37;299
192808;13;135
192808;37;289
187543;39;339
182352;13;140
182352;38;307
192809;39;330
166661;193;4635
192810;13;138
182354;37;292
166663;37;292
166663;193;3798
161616;34;256
161616;35;266
161617;34;3917
161617;35;266
161618;34;1534
161618;35;266
161618;39;335
198089;36;2577
161619;42;4846
177111;39;338
1302;0;0
177112;13;142
192811;13;131
192812;13;129
192812;37;296
166666;193;3800
192813;13;135
192813;37;296
161621;34;3109
161621;35;266
161621;243;4679
187545;39;330
182358;37;299
182358;39;331
177115;37;295
177115;39;330
182359;13;142
161625;0;29
182361;13;136
182361;39;330
182362;13;128
192817;13;137
192818;13;129
192818;37;1903
177117;13;130
187546;38;309
182363;13;140
198090;36;279
166674;193;4635
161627;243;5002
171875;37;293
171875;39;334
177118;37;301
177119;38;306
171877;37;289
171877;39;340
192820;13;136
192820;37;289
187547;39;335
198091;13;136
198091;36;287
177121;36;287
177121;37;289
177121;41;350
198093;13;138
198093;36;277
182366;37;4626
182367;37;293
182368;13;144
166676;193;3796
177123;0;9
177123;13;128
182369;13;140
182369;38;316
182370;38;320
171880;193;3797
171881;37;299
171881;39;333
177125;13;1340
192825;13;1340
177126;37;299
182372;13;128
182373;37;293
166684;0;16
177127;37;296
182374;37;293
182375;37;1903
198094;13;142
198094;36;279
192829;37;4626
192829;39;333
177130;38;302
198096;13;144
198096;36;278
177132;38;312
182376;37;301
171891;37;292
171891;39;331
182377;37;1903
187549;38;305
187549;39;334
187550;11;111
177135;37;295
166692;36;283
1503;35;262
1503;42;366
182378;13;139
182378;38;320
182379;37;290
192831;13;136
198099;13;1340
198099;36;287
166694;36;284
177137;38;4994
166695;36;278
192832;13;139
182381;0;20
182381;13;130
166698;0;18
171893;37;292
192834;13;1340
192834;37;295
192835;13;136
182383;37;292
182384;13;128
187553;11;110
187553;39;331
177138;39;337
171895;37;290
198101;36;281
198102;36;280
192836;13;144
198103;36;278
198105;13;134
198105;42;370
198106;13;132
198107;13;132
198110;13;133
166702;42;362
187555;38;310
177139;37;296
187557;0;4838
187557;11;121
177140;36;279
177140;37;293
198112;13;129
182387;38;302
177141;38;324
177142;38;320
177143;37;296
182388;13;138
182388;37;290
182389;0;17
182389;13;140
177144;39;333
192838;13;138
192838;37;290
177145;37;301
177149;37;4626
177150;39;334
177150;41;4993
177152;0;18
177153;36;282
177155;0;14
177155;36;283
177156;13;142
177157;36;281
182390;13;136
187558;39;338
177160;36;280
177161;36;279
198116;13;136
177162;39;338
177163;36;286
177166;38;306
198117;13;144
1669;0;33
171898;193;3796
192840;39;335
192841;13;133
182395;13;131
166708;0;27
166708;36;282
182396;38;325
187559;41;348
198118;13;144
192842;13;141
192842;37;293
177169;38;323
171903;37;288
198119;13;135
182397;13;131
171905;37;295
171905;193;3800
182398;0;18
182398;36;287
182399;13;140
161739;0;27
182400;38;313
192844;37;1903
187562;38;324
171906;37;4626
171906;39;338
182401;13;132
171907;37;298
171907;39;340
182402;36;283
182403;42;363
187563;39;338
182404;36;280
187564;37;296
187565;37;290
166717;36;283
182405;0;23
182405;13;129
192847;13;144
192847;39;338
177171;36;2577
182407;38;320
177172;36;280
187566;37;289
177173;36;282
182408;37;296
177174;13;144
192850;13;144
177175;36;287
166722;36;280
171914;37;295
177176;0;18
182409;13;144
182411;13;141
182412;0;17
182412;13;133
182413;43;382
182414;37;290
166723;36;278
182415;36;280
177179;36;287
192854;13;128
177180;13;141
192855;36;284
182416;36;284
182417;36;282
182418;36;282
187568;37;289
187569;13;1340
187570;37;299
1864;34;4884
171921;0;27
187571;37;292
187572;37;296
198126;13;128
187573;13;131
182420;36;278
187574;37;288
187575;37;295
192859;13;135
192859;36;282
182421;38;327
166734;34;1534
166734;35;266
166734;243;4688
187577;37;4626
182422;13;1340
182422;36;283
171928;36;279
187578;0;10
187578;13;135
182423;13;1340
1926;0;34
182424;36;281
182425;0;8
182425;13;135
182426;36;286
182427;13;140
171930;36;278
182428;38;312
166736;34;5057
166736;243;4682
177187;36;278
166738;34;3917
166738;35;266
166738;243;5003
192861;36;280
171931;36;281
182429;36;285
192862;36;280
171932;37;292
171932;42;367
177189;36;277
198128;13;1340
198128;36;278
171933;43;374
166741;35;266
166741;243;4687
177190;36;278
166743;34;4848
166743;35;266
182430;36;282
192865;36;280
192866;13;132
171934;39;340
187581;37;1903
177193;36;282
187582;13;134
187582;39;329
182431;0;23
182431;13;134
177195;13;143
177195;38;321
192867;13;1340
198133;13;142
182432;13;133
171937;0;4838
182433;13;137
192868;13;142
177196;0;34
198134;13;132
192870;13;133
192870;36;281
171939;36;2577
192871;36;281
192872;13;134
198135;13;142
198136;13;130
198136;36;279
182435;0;24
182435;13;142
182436;45;407
166750;34;2176
166750;35;266
192873;13;129
187583;13;139
192875;13;134
177197;38;327
182438;36;277
166751;0;5
187584;37;298
182439;34;2175
182439;35;266
177199;36;2577
177199;41;353
166753;34;2176
166753;35;266
177200;13;144
192877;36;285
171944;36;286
2059;0;23
2059;35;267
2059;193;3797
166755;0;27
166756;34;1534
192878;13;130
198139;34;4778
182443;35;266
182443;243;4688
166757;35;266
166757;243;4684
192879;36;285
182444;11;108
166758;34;256
166758;35;266
166758;243;4688
187587;0;28
187587;13;130
187588;13;141
192881;13;137
187589;37;296
166760;34;4884
166760;243;5002
166761;243;5002
166762;243;4683
182445;243;4679
177202;36;284
187590;0;29
187590;13;1340
187591;37;289
198141;11;110
177204;35;266
177204;243;1882
177205;34;4848
182446;35;266
182446;243;4680
177206;34;2176
182451;34;2175
182451;35;266
182451;243;5003
182452;0;9
182452;34;2176
182452;35;266
182453;35;266
182453;42;365
166767;34;4925
166767;35;266
198146;11;115
198146;35;266
198146;243;4684
166769;243;4678
187592;13;135
187592;39;333
198147;34;3917
2136;34;251
177207;35;266
177207;243;1886
177208;34;5057
177208;35;266
177208;243;4682
182454;34;3109
166771;35;266
192884;13;130
177211;34;3917
177211;38;306
177212;34;4778
177212;35;266
177212;243;1886
182455;35;266
182455;243;4688
192885;13;137
177213;34;4884
182457;34;4627
182457;35;266
198150;35;266
198150;243;4684
192887;36;286
187594;37;296
187595;37;298
182458;243;1899
192888;13;136
192889;13;139
192889;36;283
2195;193;3800
182459;34;4627
182459;35;266
198153;11;116
198153;243;1899
177216;0;35
177216;34;256
177216;39;336
182460;34;4627
182460;35;266
177217;35;266
