Game Id;Date Year;Date Month;Date Day;Arena;Attendance;Team Home;Team Away;Score Home;Score Away;Score Home P1;Score Home P2;Score Home P3;Score Home OT;Score Home SO;Score Away P1;Score Away P2;Score Away P3;Score Away OT;Score Away SO;Star 1;Star 2;Star 3;Shots Home;Shots Away;PIM Home;PIM Away;Hits Home;Hits Away;GA Home;GA Away;TA Home;TA Away;FOW Home;FOW Away;SOG Home P1;SOG Home P2;SOG Home P3;SOG Home OT;SOG Away P1;SOG Away P2;SOG Away P3;SOG Away OT;PPG Home;PPO Home;PPG Away;PPO Away;Type;SQ0 Home;SQ1 Home;SQ2 Home;SQ3 Home;SQ4 Home;SQ0 Away;SQ1 Away;SQ2 Away;SQ3 Away;SQ4 Away
42;2033;10;4;Capital One Arena;18512;22;12;6;4;2;1;3;0;0;0;2;2;0;0;18318;62325;78568;66;65;8;2;16;20;7;6;6;5;33;30;13;10;15;0;11;15;6;0;0;1;1;4;Regular Season;8;28;15;13;2;6;35;12;8;4
43;2033;10;4;Canada Life Centre;9174;33;18;4;6;1;0;3;0;0;2;2;2;0;0;175;79282;85447;38;59;20;18;24;21;6;2;1;7;28;30;6;6;8;0;10;13;8;0;1;4;2;5;Regular Season;4;19;7;4;4;7;25;12;10;5
44;2033;10;4;Bridgestone Arena;9573;32;27;3;4;0;1;2;0;0;1;1;1;1;0;82;74743;173390;61;55;10;8;23;22;7;6;4;7;28;32;5;5;6;7;12;9;10;2;1;4;1;5;Regular Season;19;22;11;6;3;4;23;10;14;4
45;2033;10;4;T-Mobile Arena;8890;4182;8;3;4;2;1;0;0;0;1;1;2;0;0;36804;11750;38057;79;59;8;4;28;14;2;5;2;4;33;37;13;12;15;0;13;10;9;0;1;2;1;4;Regular Season;17;33;14;12;3;5;36;7;6;5
46;2033;10;4;Crypto.com Arena;15930;11;15;2;1;1;0;1;0;0;0;1;0;0;0;78804;85906;31972;70;85;11;9;25;22;5;9;6;9;28;34;3;14;9;0;18;7;16;0;0;2;0;3;Regular Season;17;31;16;5;1;7;46;19;12;1
47;2033;10;4;Climate Pledge Arena;9867;4838;26;1;2;1;0;0;0;0;0;0;1;1;0;85838;77074;179154;67;65;14;18;30;24;9;8;9;8;35;24;11;10;10;7;10;9;6;3;0;4;1;2;Regular Season;6;28;19;12;2;14;31;11;6;3
48;2033;10;5;Scotiabank Arena;18250;3;20;4;7;1;2;1;0;0;1;3;3;0;0;14303;143375;23067;56;89;10;4;31;14;6;9;7;10;35;40;7;7;12;0;21;20;16;0;0;2;1;5;Regular Season;10;25;14;6;1;7;41;25;15;1
49;2033;10;5;TD Garden;15544;5;24;2;4;1;0;1;0;0;1;0;3;0;0;84963;85789;176042;50;58;21;4;24;14;6;9;3;2;30;28;8;11;7;0;19;5;9;0;1;2;2;5;Regular Season;6;20;13;6;5;8;22;11;16;1
50;2033;10;6;Bell Centre;21273;0;30;4;0;1;0;3;0;0;0;0;0;0;0;91178;1302;19695;54;56;4;16;23;22;6;4;5;2;20;32;12;4;17;0;13;11;11;0;1;3;0;2;Regular Season;12;21;12;5;4;5;22;10;17;2
51;2033;10;6;Amalie Arena;11462;29;28;6;3;3;1;2;0;0;3;0;0;0;0;43784;143483;91662;66;53;4;6;32;21;10;3;2;7;24;29;15;8;18;0;9;11;8;0;1;3;0;2;Regular Season;10;32;9;11;4;8;21;14;9;1
52;2033;10;6;Prudential Center;14121;21;33;5;2;3;1;1;0;0;0;1;1;0;0;43726;91384;57175;63;54;6;8;18;18;4;8;3;4;27;35;11;15;12;0;3;8;14;0;1;4;1;3;Regular Season;6;30;12;13;2;12;25;11;3;3
53;2033;10;6;Nationwide Arena;13664;34;18;4;1;0;1;3;0;0;0;0;1;0;0;89382;147859;64699;71;55;2;8;17;25;4;7;5;4;29;26;13;18;18;0;4;12;10;0;1;4;0;1;Regular Season;4;34;13;16;4;14;21;11;8;1
54;2033;10;6;FLA Live Arena;10539;31;23;3;2;0;2;1;0;0;1;1;0;0;0;937;86059;170904;44;60;6;4;23;19;8;5;5;3;21;39;10;12;7;0;7;10;8;0;0;2;1;3;Regular Season;8;18;7;9;2;9;26;11;10;4
55;2033;10;6;Enterprise Center;20035;16;27;3;4;0;2;1;0;0;0;2;2;0;0;13921;169476;34741;43;55;0;8;20;16;5;2;7;2;23;33;8;9;7;0;13;9;12;0;0;4;0;0;Regular Season;5;24;9;5;0;7;23;12;10;3
56;2033;10;6;Xcel Energy Center;15041;35;12;2;3;1;1;0;0;0;3;0;0;0;0;5501;42154;43756;45;63;20;22;17;28;4;6;9;6;25;32;11;4;3;0;17;11;5;0;2;6;1;5;Regular Season;6;23;7;8;1;10;31;9;9;4
57;2033;10;6;Bridgestone Arena;8221;32;4838;2;5;0;1;1;0;0;0;3;2;0;0;85759;13279;14137;58;49;8;6;20;22;5;6;7;4;37;32;8;12;11;0;0;10;6;0;1;3;1;4;Regular Season;8;31;11;7;1;12;17;11;8;1
58;2033;10;6;Scotiabank Saddledome;13095;19;26;2;1;0;1;1;0;0;1;0;0;0;0;77070;4292;18330;62;59;2;19;27;14;4;8;4;2;31;29;3;15;10;0;9;7;11;0;0;4;0;1;Regular Season;8;30;15;8;1;15;25;9;8;2
59;2033;10;6;T-Mobile Arena;8688;4182;15;2;7;0;1;1;0;0;2;3;2;0;0;33862;86095;15909;50;83;8;6;17;22;3;8;7;6;42;29;5;13;5;0;20;13;18;0;1;3;0;4;Regular Season;10;20;13;4;3;5;44;20;9;5
60;2033;10;6;United Center;22428;8;25;4;3;3;0;1;0;0;1;2;0;0;0;11983;86137;558;55;67;34;10;23;17;9;7;6;6;29;43;15;5;10;0;8;15;16;0;1;5;0;7;Regular Season;9;30;4;11;1;10;33;13;10;1
61;2033;10;6;Crypto.com Arena;17628;11;9;1;5;1;0;0;0;0;1;1;3;0;0;36096;86055;20;48;50;6;4;23;20;4;5;2;1;30;37;14;8;6;0;5;11;8;0;0;2;0;3;Regular Season;7;32;4;2;3;9;24;13;3;1
62;2033;10;7;Wells Fargo Center;18342;14;30;2;3;0;1;1;0;0;1;1;1;0;0;37584;708;84975;60;72;20;2;25;29;4;5;5;4;26;25;5;9;12;0;10;19;7;0;0;1;0;5;Regular Season;13;29;10;8;0;14;26;18;8;6
63;2033;10;7;Capital One Arena;18512;22;10;2;6;0;0;2;0;0;1;3;2;0;0;675;167030;79023;62;56;8;8;11;34;8;6;4;6;27;35;19;8;8;0;5;9;9;0;1;4;3;4;Regular Season;5;28;16;10;3;15;21;8;6;6
