Game Id;Period;Time;Scorer;Assist 1;Assist 2;TeamId;Note;SQ
32;2;630;85524;165406;91427;3;ES;3
33;1;235;85680;85906;77093;15;ES;3
33;3;643;49712;59607;288;19;ES;1
33;3;664;78579;79106;49712;19;ES;1
33;3;1007;33862;85723;86095;15;PP;3
33;OT1;31;77070;85189;78579;19;ES;3
34;1;56;44163;11770;;5;ES;2
34;1;790;129;708;72369;14;ES;2
34;1;956;85789;364;;5;ES;3
34;3;286;44163;85789;11770;5;ES;3
34;3;1186;85789;11770;164925;5;ES, ENG;2
35;1;865;64889;164664;85115;10;PP;3
35;2;681;84958;238;;10;PP;3
35;2;694;167030;58391;91183;10;ES;3
36;1;211;57175;38304;146358;21;ES;3
36;3;392;7991;82736;14785;12;ES;3
36;OT1;78;84965;146358;;21;ES;3
37;1;474;85779;59169;75136;28;ES;3
37;1;969;38274;2949;;25;PP;3
37;1;1167;38274;169907;37049;25;PP;1
37;2;731;47167;140433;31567;28;PP;3
37;2;913;77970;85795;178447;28;PP;1
37;3;171;13153;167046;2949;25;ES;3
37;3;524;143407;86137;29596;25;ES;3
37;3;910;167046;2949;;25;ES;2
37;3;1155;167046;38274;2949;25;PP, ENG;3
38;1;9;58002;28823;15297;20;ES;4
38;2;1116;37584;26545;36145;30;PP;1
38;3;585;37584;36145;18911;30;ES;4
38;3;1153;146398;27809;59185;20;ES;4
39;2;187;937;13164;79111;31;ES;4
39;2;821;13164;91180;79111;31;ES;3
39;3;993;37058;1302;19695;0;ES;1
39;3;1194;31076;91661;;31;ES, ENG;1
40;1;871;23778;75265;;16;ES;1
40;2;731;20760;148519;85659;16;ES;3
40;2;820;31432;3382;169476;16;PP;1
41;1;289;74741;85121;58247;23;ES;4
41;1;395;85845;33115;43725;34;ES;2
41;1;976;33115;86349;36822;34;PP;2
41;3;39;2960;47103;84969;23;ES;1
41;3;598;490;86059;74667;23;ES;3
42;1;98;79265;64730;75117;22;ES;1
42;1;156;78568;3646;18318;22;ES;1
42;2;260;12641;3646;57592;22;ES;3
42;2;298;62325;148991;62256;12;ES;4
42;2;513;148991;20359;7991;12;PP;4
42;3;42;14839;43756;62325;12;ES;3
42;3;194;36652;86297;18318;22;ES;3
42;3;582;78568;3646;18318;22;ES;1
42;3;669;20359;79036;14839;12;ES;3
42;3;1096;12641;18318;78568;22;ES;3
43;1;532;85447;78577;175;18;ES;1
43;1;687;38305;564;;33;ES;4
43;1;778;173556;177176;;18;PP;4
43;2;539;6128;85119;95065;18;ES;3
43;2;798;175;85447;57224;18;PP;4
43;3;437;95065;164558;;18;ES;3
43;3;760;84974;177813;59218;33;PP;1
43;3;828;17910;85136;;33;SH;4
43;3;1052;12640;79282;289;33;ES;3
43;3;1167;175;57224;164558;18;ES;1
44;1;125;78803;79273;84964;27;ES;3
44;2;346;33157;173390;;27;SH;4
44;2;774;57588;74743;47116;32;PP;4
44;3;346;82;173390;47111;27;PP;3
44;3;569;74743;57588;91653;32;ES;3
44;3;1092;151611;19182;74743;32;ES;1
44;OT1;472;82;31467;;27;ES;2
45;1;22;65061;36804;38057;8;ES;3
45;1;58;57856;11750;;4182;ES;1
45;1;653;74943;11750;;4182;PP;1
45;2;934;93;8534;44353;8;PP;4
45;2;1096;84972;168531;;4182;ES;1
45;3;367;36656;38057;36804;8;ES;1
45;3;571;44354;36804;;8;ES;4
46;1;1008;32996;78804;46510;11;ES;4
46;2;458;33862;91745;85906;15;ES;1
46;3;728;78804;79103;19218;11;ES;1
47;1;675;66828;77074;173872;4838;ES;2
47;3;146;85838;37742;58248;26;PP;3
47;OT1;504;57891;84986;85838;26;ES;3
48;1;131;18992;85378;85000;3;ES;3
48;1;1091;15297;28823;58002;20;ES;1
48;2;329;4924;85000;;3;ES;4
48;2;508;91427;170958;165406;3;ES;3
48;2;850;74858;77101;14303;20;ES;1
48;2;1010;23067;59185;20146;20;PP;1
48;2;1198;84970;23067;85970;20;ES;2
48;3;353;14303;20146;;20;ES;2
48;3;477;170432;85998;77087;3;ES;1
48;3;836;146398;74858;59185;20;ES;2
48;3;872;143375;59185;27809;20;ES;3
49;1;14;85789;44163;85099;5;PP;4
49;1;63;16697;84963;67718;24;ES;2
49;3;359;84963;20265;74668;24;PP;3
49;3;561;11770;85789;364;5;ES;4
49;3;896;6508;59176;38265;24;PP;1
49;3;951;91186;176042;61262;24;ES;3
50;1;1158;18099;85003;;0;ES;2
50;3;395;84983;91655;19695;0;PP;1
50;3;563;1302;19695;20084;0;ES;1
50;3;1093;1302;78805;31454;0;ES;1
51;1;273;31567;163065;77970;28;ES;3
51;1;288;91191;77091;91662;29;PP;1
51;1;344;77970;75136;;28;ES;3
51;1;745;143483;178992;78571;29;ES;1
51;1;794;91645;143483;43784;29;ES;3
51;1;960;75136;85795;85779;28;ES;2
51;2;470;18337;91662;91191;29;ES;1
51;3;316;43784;91662;;29;ES;4
51;3;751;77091;78571;43784;29;ES;2
52;1;43;32965;91384;;21;ES;3
52;1;257;91384;32965;43726;21;PP;1
52;1;789;43726;152506;70249;21;ES;1
52;2;404;564;12640;20694;33;PP;1
52;2;932;57175;43726;146358;21;ES;3
52;3;36;58822;85136;;33;ES;1
52;3;841;34754;91384;57175;21;ES;3
53;2;20;64699;147859;89382;34;PP;2
53;3;238;147434;44115;37023;34;ES;4
53;3;965;78575;89382;147859;34;ES;1
53;3;1006;173556;57224;78619;18;ES;3
53;3;1077;89382;78575;64699;34;ES;2
54;1;982;490;86059;58247;23;PP;2
54;2;239;91652;31076;937;31;ES;1
54;2;767;13164;91661;85788;31;ES;2
54;2;1191;64696;86059;;23;ES;1
54;3;368;79111;170904;937;31;SH;3
