PlayerId;TeamId;FranchiseId;Games Played;Minutes Played;Wins;Losses;OT;Shots Against;Saves;Goals Against;Goals Against Average;Shutouts;Save Percentage;Game Rating
64925;4997;4997;15;863;8;6;0;499;450;49;3.40;0;.902;70
65014;570;570;38;2290;19;18;1;1285;1182;103;2.70;2;.920;76
65125;171;171;16;946;8;4;3;480;445;35;2.22;3;.927;75
65324;561;561;20;1205;8;10;2;608;548;60;2.99;1;.901;66
65762;876;876;14;777;6;6;0;395;361;34;2.62;2;.914;67
66245;748;748;22;1228;11;6;2;672;627;45;2.20;1;.933;76
66271;1422;1422;20;1184;13;7;0;700;637;63;3.19;2;.910;72
66491;474;474;37;1998;6;27;2;1426;1278;148;4.44;0;.896;65
66551;472;472;21;1253;10;11;0;636;563;73;3.49;0;.885;62
66924;777;777;7;373;5;2;0;146;127;19;3.06;0;.870;58
66993;881;881;30;1821;12;14;4;1032;942;90;2.96;3;.913;75
67122;733;733;1;29;0;1;0;17;12;5;10.11;0;.706;20
67162;2259;2259;12;691;6;5;0;412;370;42;3.64;0;.898;63
67222;482;482;32;1849;20;10;1;980;898;82;2.66;6;.916;72
67362;733;733;20;1176;8;8;3;687;640;47;2.40;1;.932;81
67446;1492;1492;20;1093;4;11;1;644;586;58;3.18;2;.910;70
67454;2632;2632;16;808;6;5;1;477;416;61;4.52;1;.872;57
67614;2277;2277;22;1346;8;11;3;687;627;60;2.67;0;.913;69
67625;1922;1922;20;1213;12;7;1;534;485;49;2.42;4;.908;69
67626;570;570;5;299;1;4;0;172;157;15;3.00;0;.913;70
67663;4794;4794;11;482;2;4;2;384;342;42;5.22;0;.891;61
67683;545;545;7;425;6;1;0;181;170;11;1.55;3;.939;78
67764;1871;516;5;249;3;1;0;93;90;3;0.72;2;.968;77
67818;3721;3721;36;2142;16;16;4;988;889;99;2.77;2;.900;65
68167;572;572;39;2347;17;21;1;1341;1243;98;2.50;3;.927;78
68233;1093;1093;9;430;2;3;1;226;196;30;4.19;0;.867;52
68565;1869;1869;4;200;3;0;1;68;63;5;1.50;0;.926;64
68627;523;523;4;226;2;1;0;62;55;7;1.85;1;.887;58
68689;1503;1503;21;1211;9;10;1;538;488;50;2.48;3;.907;67
68961;4961;4961;8;264;0;2;0;152;131;21;4.76;0;.862;49
69536;886;886;21;1285;13;4;4;523;478;45;2.10;1;.914;69
70099;890;890;12;729;7;1;3;345;321;24;1.97;1;.930;74
70213;887;887;4;179;2;0;0;80;69;11;3.67;0;.863;53
70573;4535;4535;31;1819;16;10;4;946;863;83;2.74;2;.912;70
70879;893;893;11;650;5;6;0;400;358;42;3.88;1;.895;63
71046;614;614;4;114;0;1;0;53;48;5;2.61;0;.906;54
71297;472;472;19;1099;11;6;1;507;465;42;2.29;2;.917;67
71485;4989;4989;38;2174;15;19;3;1267;1154;113;3.12;4;.911;71
71565;15;15;15;907;11;3;1;414;372;42;2.78;0;.899;67
71648;713;713;4;198;3;1;0;78;71;7;2.11;0;.910;61
71660;546;546;33;1959;11;18;4;1214;1105;109;3.34;0;.910;72
72108;549;549;10;517;4;4;1;290;266;24;2.79;2;.917;72
72229;2474;2474;32;1876;10;19;3;1169;1070;99;3.17;1;.915;75
72514;1920;1920;13;597;3;6;1;382;328;54;5.42;0;.859;52
73187;614;614;32;1877;18;14;0;1020;920;100;3.20;3;.902;66
73274;647;647;21;1108;8;10;0;730;668;62;3.36;0;.915;74
73396;620;620;12;543;5;3;0;295;269;26;2.87;0;.912;64
73639;620;620;25;1443;6;17;2;875;774;101;4.20;0;.885;60
73939;563;563;35;2104;20;12;3;990;904;86;2.45;5;.913;68
73973;523;523;37;2203;28;6;3;800;732;68;1.85;5;.915;67
74161;612;612;2;106;0;1;0;45;39;6;3.38;0;.867;46
74680;421;421;11;662;8;3;0;239;213;26;2.36;2;.891;65
74734;739;739;41;2370;20;19;1;1287;1167;120;3.04;1;.907;69
75268;745;745;43;2479;17;22;3;1303;1179;124;3.00;2;.905;67
75313;885;885;3;158;2;1;0;102;91;11;4.15;0;.892;59
75362;57;57;25;1466;11;12;2;858;775;83;3.40;1;.903;68
75464;460;460;10;394;2;4;0;227;200;27;4.10;0;.881;55
75764;558;558;15;695;6;5;0;416;382;34;2.93;2;.918;70
76405;747;747;45;2668;27;14;3;1328;1213;115;2.59;6;.913;72
76406;1503;1503;23;1396;10;9;4;677;619;58;2.49;2;.914;70
76486;716;716;30;1764;23;3;3;680;614;66;2.24;2;.903;65
76574;50;50;29;1657;11;16;1;994;903;91;3.29;1;.908;69
76628;758;758;4;215;0;4;0;156;139;17;4.74;0;.891;66
76885;874;874;33;1998;28;3;2;810;750;60;1.80;6;.926;74
76951;2193;2193;22;1333;16;4;2;507;470;37;1.66;4;.927;71
77009;719;719;4;250;2;1;1;131;121;10;2.40;0;.924;78
77084;65;65;25;1464;13;10;1;706;644;62;2.54;2;.912;70
77086;710;710;20;1208;13;6;1;490;444;46;2.28;2;.906;64
77955;28;28;29;1506;7;16;1;840;747;93;3.70;0;.889;60
78094;831;831;10;562;4;6;0;264;230;34;3.62;0;.871;57
78223;839;839;18;992;6;10;2;517;467;50;3.02;1;.903;62
78251;569;569;30;1758;7;17;5;1083;995;88;3.00;1;.919;72
78262;2319;2319;9;461;1;3;2;274;250;24;3.12;0;.912;65
78348;897;897;32;1830;16;10;6;1028;942;86;2.82;1;.916;72
78479;47;47;28;1678;17;9;2;731;666;65;2.32;3;.911;68
78573;23;23;32;1803;8;15;7;1074;963;111;3.69;0;.897;65
78581;61;61;28;1680;10;17;1;792;709;83;2.96;0;.895;65
78596;873;873;28;1708;17;7;4;828;765;63;2.21;8;.924;75
78775;71;71;26;1420;9;12;3;794;712;82;3.46;0;.897;67
78806;34;34;20;1210;16;3;1;512;460;52;2.58;1;.898;64
78815;564;564;4;199;1;2;0;105;96;9;2.71;0;.914;72
78820;169;169;17;970;13;3;0;480;439;41;2.53;2;.915;72
78845;3795;3795;6;363;3;3;0;167;145;22;3.63;0;.868;58
78864;76;76;22;1257;5;15;2;839;752;87;4.15;0;.896;68
78920;476;476;33;1987;25;7;1;890;821;69;2.08;5;.922;72
79132;49;49;32;1817;8;18;3;1170;1065;105;3.47;3;.910;69
79141;47;47;12;621;7;2;1;270;244;26;2.51;0;.904;63
79280;46;46;9;517;6;1;2;243;219;24;2.78;1;.901;64
80222;647;647;23;1316;4;15;3;858;770;88;4.01;0;.897;68
80596;556;556;10;601;6;4;0;272;247;25;2.49;0;.908;65
80616;874;874;2;120;1;1;0;57;52;5;2.50;0;.912;72
80834;887;887;3;185;3;0;0;87;79;8;2.59;0;.908;71
80859;1472;1472;7;419;5;2;0;165;152;13;1.86;1;.921;69
81085;710;710;13;778;9;4;0;295;268;27;2.08;3;.908;66
81096;490;490;36;1991;7;27;1;1486;1346;140;4.22;0;.906;73
81691;4924;4924;3;180;1;2;0;102;92;10;3.33;0;.902;63
81733;768;768;2;125;1;0;1;49;44;5;2.40;0;.898;58
82245;945;945;16;749;6;5;1;445;409;36;2.88;0;.919;70
82273;2182;2182;37;2196;25;9;3;979;893;86;2.35;4;.912;69
82711;766;766;13;785;10;3;0;366;336;30;2.29;1;.918;71
82817;762;762;6;368;3;3;0;161;142;19;3.10;0;.882;57
83199;798;798;3;126;1;1;0;61;56;5;2.36;0;.918;66
83252;553;553;9;408;3;4;0;221;197;24;3.52;0;.891;59
84287;1877;1877;19;927;6;6;2;550;503;47;3.04;0;.915;69
84430;565;565;24;1394;11;12;1;715;649;66;2.84;0;.908;69
84945;573;573;35;2016;16;14;3;1159;1066;93;2.77;2;.920;73
85009;80;80;24;1434;14;8;2;670;613;57;2.38;2;.915;69
85127;473;473;8;478;6;2;0;212;194;18;2.26;2;.915;67
85281;749;749;16;903;12;4;0;426;395;31;2.06;2;.927;72
85336;4715;4715;19;1151;8;9;1;616;551;65;3.39;2;.894;68
85349;556;556;23;1387;11;10;2;598;532;66;2.85;1;.890;60
85354;625;625;3;179;2;1;0;73;68;5;1.67;0;.932;75
85395;558;558;22;1160;7;13;0;633;564;69;3.57;3;.891;60
85428;574;574;21;1266;14;6;1;571;522;49;2.32;2;.914;70
85437;28;28;23;1216;2;18;1;798;699;99;4.88;0;.876;58
85453;37;37;15;911;7;7;1;401;359;42;2.76;0;.895;62
85468;56;56;6;311;1;3;0;195;176;19;3.67;0;.903;63
85489;762;762;41;2403;19;20;2;1295;1191;104;2.60;3;.920;72
85507;1475;1475;9;394;1;5;0;216;191;25;3.80;0;.884;57
85546;4837;4837;32;1924;20;11;1;899;828;71;2.21;4;.921;73
85633;2564;2564;11;665;5;6;0;396;365;31;2.79;0;.922;79
85636;40;40;8;478;3;5;0;270;249;21;2.63;0;.922;76
85661;749;749;37;2247;25;9;3;1041;951;90;2.40;4;.914;70
85670;885;885;31;1828;13;15;2;875;799;76;2.49;1;.913;70
85709;3798;3798;12;724;9;3;0;337;302;35;2.90;1;.896;67
85727;24;24;36;2180;23;8;4;1106;1025;81;2.23;5;.927;76
85749;877;877;11;663;7;4;0;292;269;23;2.08;0;.921;69
85787;1814;1814;33;1951;14;17;1;1136;1045;91;2.80;4;.920;76
85797;3789;3789;28;1692;13;11;4;803;740;63;2.23;2;.922;72
85798;45;12;30;1794;13;12;4;1026;938;88;2.94;1;.914;72
85947;459;459;17;1030;12;4;1;473;416;57;3.32;0;.879;58
85984;4991;4991;15;903;11;3;1;440;390;50;3.32;0;.886;63
85987;426;426;8;490;5;2;1;220;203;17;2.08;1;.923;76
86099;517;517;14;807;7;3;3;423;388;35;2.60;1;.917;72
86151;2564;2564;22;1328;14;7;1;728;675;53;2.39;1;.927;76
86180;55;55;27;1646;19;5;3;741;681;60;2.19;4;.919;72
86192;33;33;32;1757;13;13;5;986;884;102;3.48;1;.897;65
86226;426;426;14;872;10;4;0;435;406;29;1.99;1;.933;77
86228;515;515;4;240;2;2;0;88;80;8;1.99;0;.909;64
86268;2557;2557;18;1045;3;14;1;595;525;70;4.02;0;.882;59
86283;879;879;18;1062;12;5;0;480;432;48;2.71;3;.900;65
86343;551;551;31;1783;13;16;1;884;797;87;2.93;1;.902;64
86344;175;175;16;967;6;9;1;461;411;50;3.10;1;.892;63
86347;575;575;29;1746;16;9;4;761;693;68;2.34;5;.911;67
86360;519;519;35;2115;19;14;2;1191;1107;84;2.38;3;.929;77
86394;619;619;29;1757;21;5;3;786;719;67;2.29;6;.915;70
86422;552;552;26;1558;22;3;0;617;570;47;1.81;7;.924;71
86485;835;835;5;291;2;3;0;184;169;15;3.09;1;.918;78
86531;428;428;7;376;2;4;0;171;153;18;2.87;0;.895;60
86579;513;513;9;453;6;2;0;208;188;20;2.65;1;.904;63
86686;1869;1869;37;2215;22;12;2;1106;1014;92;2.49;3;.917;71
86697;20;20;39;2333;18;17;4;1443;1332;111;2.85;4;.923;77
86862;57;57;16;893;7;6;1;485;443;42;2.82;0;.913;71
86875;149;4837;21;1249;14;6;1;594;543;51;2.45;1;.914;70
87164;1368;1368;24;1434;12;10;2;671;588;83;3.47;3;.876;58
87603;636;636;8;414;4;1;1;172;163;9;1.30;2;.948;70
87798;872;872;25;1436;9;13;2;797;736;61;2.55;2;.923;74
87894;482;482;9;498;2;5;1;281;245;36;4.33;0;.872;54
88646;729;729;47;2806;33;12;2;1513;1407;106;2.27;5;.930;78
88692;552;552;4;197;4;0;0;84;79;5;1.52;0;.940;73
89190;837;837;2;121;2;0;0;57;50;7;3.45;0;.877;60
89874;829;829;11;590;5;4;1;299;273;26;2.64;1;.913;67
89930;1925;1925;15;910;12;2;1;382;337;45;2.97;1;.882;59
90164;10;10;20;1131;3;15;1;734;664;70;3.71;0;.905;68
90734;564;564;37;2202;23;13;1;1034;936;98;2.67;4;.905;68
91178;12;12;12;663;5;6;0;316;289;27;2.44;2;.915;70
91194;3721;3721;10;517;6;2;0;223;206;17;1.97;1;.924;67
91202;576;576;24;1390;10;11;2;712;648;64;2.76;1;.910;68
91212;170;170;14;805;2;7;4;433;386;47;3.50;0;.891;64
91225;49;49;14;663;1;11;0;426;377;49;4.43;0;.885;58
91358;767;767;40;2419;19;20;1;1219;1104;115;2.85;1;.906;67
91398;158;60;30;1767;13;14;2;1085;986;99;3.36;2;.909;73
91403;577;577;29;1746;19;9;1;697;646;51;1.75;6;.927;71
91413;3798;3798;11;668;7;3;1;314;282;32;2.87;0;.898;64
91414;1876;1876;13;601;4;6;1;341;311;30;2.99;0;.912;65
91448;435;435;19;1037;4;10;2;725;661;64;3.70;0;.912;71
91742;743;743;22;1306;10;9;3;700;640;60;2.76;2;.914;71
92283;2579;2579;11;487;5;3;0;252;217;35;4.31;1;.861;51
93324;738;738;1;65;1;0;0;32;31;1;0.92;0;.969;95
93756;911;911;21;1283;12;7;2;645;599;46;2.15;4;.929;78
94018;2197;2197;4;243;1;3;0;155;147;8;1.97;0;.948;86
94107;1497;1497;4;245;2;1;1;110;103;7;1.71;0;.936;76
94134;2529;2529;12;678;5;3;2;339;308;31;2.74;0;.909;67
94508;1497;1497;29;1569;6;20;1;894;819;75;2.87;1;.916;71
94557;415;415;9;556;3;4;2;331;300;31;3.34;0;.906;67
94615;54;54;12;599;2;9;0;430;380;50;5.00;0;.884;59
95405;776;776;30;1768;14;13;3;998;913;85;2.88;2;.915;71
139409;0;0;39;2262;19;20;0;1166;1060;106;2.81;2;.909;70
139467;44;44;8;469;3;4;0;250;229;21;2.69;0;.916;73
