TeamId;LeagueId;Name;Nickname;Abbr;Parent Team 1;Parent Team 2;Parent Team 3;Parent Team 4;Parent Team 5;Parent Team 6;Parent Team 7;Parent Team 8;Primary Color;Secondary Color;Text Color;Conference Id;Division Id
4403;221;DEAC Jégkorong Akadémia;U18;DEAC18;4634;-1;-1;-1;-1;-1;-1;-1;#da251d;#f4f400;#fefef4;0;-1
4404;235;Dunaújvárosi Acélbikák;U18;DUN;484;-1;-1;-1;-1;-1;-1;-1;#fb0204;#000000;#fefef4;-1;-1
4405;235;Györi ETO HC;U18;ETO18;667;-1;-1;-1;-1;-1;-1;-1;#018136;#018136;#fefef4;-1;-1
4406;235;Ferencváros TC;U18;FER;662;4418;-1;-1;-1;-1;-1;-1;#036d2d;#a28f2b;#fefef4;-1;-1
4407;221;Okanagan HC Europe;U18;OKA18;4062;-1;-1;-1;-1;-1;-1;-1;#cc3333;#000000;#fefef4;0;-1
4409;235;CSS Miercurea Ciuc;U18;SCC;663;-1;-1;-1;-1;-1;-1;-1;#1f529b;#1f529b;#fefef4;-1;-1
4410;221;Újpesti Jégkorong Akadémia;U18;UTE18;668;4422;-1;-1;-1;-1;-1;-1;#501b7f;#bd964a;#fefef4;1;-1
4411;211;Gyori NEMAK ETO HC;U21;ETO21;667;-1;-1;-1;-1;-1;-1;-1;#018136;#018136;#fefef4;-1;-1
4413;235;HK Budapest;U18;KMH18;-1;-1;-1;-1;-1;-1;-1;-1;#d61f26;#209825;#fefef4;-1;-1
4414;211;DVTK Jegesmedvék Akadémia;U21;MIS21;664;-1;-1;-1;-1;-1;-1;-1;#c40003;#a78200;#fefef4;-1;-1
4415;211;DEAC Jégkorong Akadémia;U21;DHK21;-1;4634;-1;-1;-1;-1;-1;-1;#da251d;#f4f400;#fefef4;-1;-1
4416;211;Dunaújvárosi Acélbikák;U21;DAB21;484;-1;-1;-1;-1;-1;-1;-1;#fb0204;#000000;#fefef4;-1;-1
4418;211;Ferencváros TC Budapest;U21;FER21;662;-1;-1;-1;-1;-1;-1;-1;#036d2d;#a28f2b;#fefef4;-1;-1
4419;211;Fehérvár Hockey Academy 19;U21;AVS21;667;-1;-1;-1;-1;-1;-1;-1;#1f195e;#df1e26;#fefef4;-1;-1
4420;221;Vasas SC;U18;VAS18;2298;-1;-1;-1;-1;-1;-1;-1;#ee1c29;#005faf;#c7b27f;1;-1
4422;211;Újpesti Jégkorong Akadémia;U21;UTE21;668;-1;-1;-1;-1;-1;-1;-1;#501b7f;#bd964a;#fefef4;-1;-1
4423;225;HK SŽ Olimpija;U15;OLL15;4535;-1;-1;-1;-1;-1;-1;-1;#01df01;#000000;#fefef4;-1;-1
4424;225;HDD Jesenice;U15;JES15;475;-1;-1;-1;-1;-1;-1;-1;#ec1b22;#000000;#fefef4;-1;-1
4425;225;HKMK Bled;U15;BLE15;-1;-1;-1;-1;-1;-1;-1;-1;#0000ff;#ff0000;#fefef4;-1;-1
4426;225;HK Celje;U15;CEL15;2301;-1;-1;-1;-1;-1;-1;-1;#ffff00;#013adf;#013adf;-1;-1
4427;225;HDK Maribor;U15;MAR15;816;-1;-1;-1;-1;-1;-1;-1;#000000;#df7401;#fefef4;-1;-1
