PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
60239;2025;222;14;3;0;0;2;-4;0;0;0;0;50;0;4;13;4;4;1;0;1;2251;0;660;0;0
60239;2024;222;14;1;0;0;0;-2;0;0;0;0;51;0;1;2;1;1;2;2;3;957;0;130;0;0
60239;2023;222;14;2;1;0;0;0;0;0;0;0;68;0;6;0;0;4;0;1;1;1928;438;0;0;0
60257;2026;443;46;4;0;1;2;-1;0;0;0;0;52;0;6;37;18;2;1;0;2;3580;43;311;0;0
60257;2025;443;46;4;0;1;0;1;0;0;0;0;54;0;1;5;3;2;2;1;0;1944;78;37;0;0
60257;2024;443;46;4;0;1;4;-2;0;0;0;0;53;0;4;48;17;3;5;3;2;2908;370;251;0;0
60257;2023;443;46;4;1;1;0;-2;0;0;0;0;63;0;6;38;17;4;0;1;1;3016;0;164;0;0
60354;2024;1371;14;2;0;0;2;1;0;0;0;0;43;0;1;0;0;2;2;0;0;1578;0;0;0;0
60354;2023;1371;14;2;0;0;0;0;0;0;0;0;58;0;1;0;0;0;0;0;0;1242;0;0;0;0
60469;2025;423;46;3;0;0;2;1;0;0;0;0;63;0;5;0;0;2;0;1;3;2946;62;235;0;0
